id,question,type
1,Vaping,Reward
2,Smoking a Cigarette,Reward
3,Eating Candy or Sweets,Reward
4,"Drinking Wine, or Alcoholic Beverages",Reward
5,Going for a Hike,Reward
6,Binge Watching Netflix,Reward
7,Watching Youtube,Reward
8,Talking/Texting on Cell Phone,Reward
9,Facebook ,Reward
10,"Reading/Posting on X, Instagram, Facebook (Social Media)",Reward
11,Playing Video Games on Cell Phone,Reward
12,Tik Tok ,Reward
13,Walking Dog,Reward
14,"Watching Cable News (Fox, CNN, MSNBC)",Reward
15,Taking a Nap,Reward
16,Swimming ,Reward
17,Going out for Dinner,Reward
18,Going to Gym,Reward
19,Girls Night Out (socializing with girlfriends),Reward
20,Soaking Bubble Bath (alone time),Reward
21,"Beading, Making Jewelry",Reward
